J,T,sigma_s
393588.7097,373.15,13.36116156
403185.4839,373.15,13.58762967
414193.5484,373.15,13.85082236
422701.6129,373.15,14.02018145
433830.6452,373.15,14.27619652
441169.3548,373.15,14.43506747
451088.7097,373.15,14.64499863
463427.4194,373.15,14.92226958
471330.6452,373.15,15.09036512
478629.0323,373.15,15.22268192
488346.7742,373.15,15.42126137
500967.7419,373.15,15.71635312
508629.0323,373.15,15.86123753
518830.6452,373.15,16.0546349
530564.5161,373.15,16.32542602
537983.871,373.15,16.4223773
547137.0968,373.15,16.60273834
557258.0645,373.15,16.81233174
568790.3226,373.15,17.04365262
579435.4839,373.15,17.25662034
589032.2581,373.15,17.45028133
597419.3548,373.15,17.59364888
607258.0645,373.15,17.74893378
619193.5484,373.15,18.03208599
630322.5806,373.15,18.2504818
641129.0323,373.15,18.43581269
651612.9032,373.15,18.61998859
661612.9032,373.15,18.79232921
669153.2258,373.15,18.9130907
678991.9355,373.15,19.08370573
689637.0968,373.15,19.25678274
700322.5806,373.15,19.48279707
710443.5484,373.15,19.63047272
720403.2258,373.15,19.83267308
732177.4194,373.15,20.05374332
743709.6774,373.15,20.23175272
755322.5806,373.15,20.45377506
764637.0968,373.15,20.60701963
774072.5806,373.15,20.74537653
786693.5484,373.15,20.98214336
795846.7742,373.15,21.11732453
805725.8065,373.15,21.28500937
818669.3548,373.15,21.5198533
828629.0323,373.15,21.66479337
838830.6452,373.15,21.84064398
850887.0968,373.15,22.03486781
860846.7742,373.15,22.20927219
871895.1613,373.15,22.37947151
881330.6452,373.15,22.50994185
893870.9677,373.15,22.73587855
903588.7097,373.15,22.88683954
915645.1613,373.15,23.07612343
925887.0968,373.15,23.24103578
937822.5806,373.15,23.4273408
949798.3871,373.15,23.63637517
961411.2903,373.15,23.7840613
968225.8065,373.15,23.87698276
979758.0645,373.15,24.0541455
992903.2258,373.15,24.26350377
1003225.806,373.15,24.41605132
1014798.387,373.15,24.59548601
1028387.097,373.15,24.84283105
1039072.581,373.15,24.98567435
1049153.226,373.15,25.13067797
1059758.065,373.15,25.27389534
1069637.097,373.15,25.42144882
1082298.387,373.15,25.6076707
1092580.645,373.15,25.76006709
1103750,373.15,25.90439274
1115322.581,373.15,26.07638831
1126612.903,373.15,26.23312519
1137258.065,373.15,26.39800611
1150604.839,373.15,26.59652695
1163225.806,373.15,26.78519936
1174032.258,373.15,26.92555295
1184314.516,373.15,27.08117556
1194959.677,373.15,27.20204633
1208870.968,373.15,27.43497307
1220685.484,373.15,27.60368861
1230080.645,373.15,27.71126505
1240806.452,373.15,27.84188191
1255564.516,373.15,28.05602375
1266411.29,373.15,28.20828788
1276895.161,373.15,28.34642851
1288709.677,373.15,28.52973406
1299758.065,373.15,28.6595479
1311209.677,373.15,28.80105271
1324233.871,373.15,28.99646815
1336169.355,373.15,29.1501657
1348588.71,373.15,29.33501992
1359112.903,373.15,29.46329342
1370725.806,373.15,29.60801624
1380241.935,373.15,29.72795004
1395443.548,373.15,29.93047217
1405645.161,373.15,30.06343184
1416370.968,373.15,30.19274429
1430524.194,373.15,30.41791376
1440201.613,373.15,30.49317648
1452379.032,373.15,30.66103937
1464838.71,373.15,30.83391559
1475403.226,373.15,30.94488247
1489879.032,373.15,31.16095586
1500524.194,373.15,31.2730506
1512620.968,373.15,31.42129707
1524516.129,373.15,31.60361888
1535766.129,373.15,31.72840851
1548306.452,373.15,31.89228864
1561733.871,373.15,32.06962664
1571612.903,373.15,32.18707388
1584717.742,373.15,32.34792421
1595080.645,373.15,32.44877933
1610161.29,373.15,32.66931938
1620604.839,373.15,32.75688134
1632137.097,373.15,32.91761105
1644314.516,373.15,33.04419148
1656895.161,373.15,33.17801595
1667822.581,373.15,33.30816401
1681975.806,373.15,33.51048815
1692620.968,373.15,33.62542433
1704637.097,373.15,33.77246648
1717903.226,373.15,33.94498941
1729919.355,373.15,34.0971054
1740604.839,373.15,34.19112826
1752137.097,373.15,34.32947728
1765040.323,373.15,34.48473576
1779435.484,373.15,34.65901657
1790443.548,373.15,34.79148867
1802056.452,373.15,34.90270166
1814314.516,373.15,35.0352364
1828185.484,373.15,35.21325719
1840040.323,373.15,35.36756345
1851250,373.15,35.48014558
1862943.548,373.15,35.62728999
1875685.484,373.15,35.77489298
1890120.968,373.15,35.94057343
1900846.774,373.15,36.04788042
1911693.548,373.15,36.16376607
1924072.581,373.15,36.31102837
1936572.581,373.15,36.4434229
1948588.71,373.15,36.58924124
1963387.097,373.15,36.76779974
1975645.161,373.15,36.9002206
1988387.097,373.15,37.03691573
1998467.742,373.15,37.13395342
2011370.968,373.15,37.28338547
2024475.806,373.15,37.43447979
2037096.774,373.15,37.57581709
2048830.645,373.15,37.6902602
2059516.129,373.15,37.80406921
2073266.129,373.15,37.94630749
2087217.742,373.15,38.11370167
